Activity Name,Type,Operator,Region,Location/Meeting Point,Price Range (£),Duration,Difficulty,Season,Min Age,Booking URL,Source URL,description,best_for,skip_if,local_tip
Gorge Walking,Gorge Scrambling,Black Mountain Adventure,Brecon Beacons,Waterfall Country,45-85,2-3 hours,Moderate,Mar-Oct,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk,"Gorge walking with Black Mountain Adventure is all about scrambling up a Welsh gorge, wading through water, and navigating small waterfalls. It's more hands-on than just walking, and this operator stands out because they're based right in Waterfall Country, meaning they likely have access to less crowded and well-maintained gorge routes. Expect to get fully wet and possibly a bit muddy, but the focus is on fun and natural obstacles rather than intense physical exertion.",Active families with kids (8+) who aren't afraid of getting wet and enjoy a bit of adventurous play in nature; confident beginners looking for a guided introduction to gorge scrambling.,"You're strongly averse to cold water, have significant mobility limitations, or prefer leisurely, dry sightseeing.","Bring a waterproof camera or phone case – you'll want to capture the experience, and there's no escaping the water!"
High Ropes,High Ropes,Black Mountain Adventure,Brecon Beacons,Three Cocks,45-85,2-3 hours,Moderate,Mar-Oct,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk,"The High Ropes course at Black Mountain Adventure challenges you to navigate a series of obstacles suspended high in the trees. This course distinguishes itself by being integrated into a mature woodland, creating a truly immersive experience. Expect a physical and mental challenge, requiring both balance and problem-solving as you traverse rope bridges, zip lines, and other aerial elements.","Active families with kids aged 8+ who enjoy a physical challenge and aren't afraid of heights, or groups of friends looking for an adventurous day out.","You have a significant fear of heights, limited mobility, or are looking for a relaxing, low-exertion activity.","Wear closed-toe shoes with good grip and layers of clothing, as the woodland canopy can make it cooler than ground level, and you'll warm up as you go."
Archery,Archery,Black Mountain Adventure,Brecon Beacons,Three Cocks,45-85,1-2 hours,Family,Year-round,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk,"This archery session at Black Mountain Adventure provides a safe and fun introduction to the sport. The experienced instructors tailor the session to your skill level, making it a great option for families and beginners. Unlike some ranges, this one incorporates some fun targets to make it more engaging.","Families with children aged 8+, or adults looking for a relaxed introduction to archery.","You are seeking a challenging, advanced archery experience with long-distance targets.",Wear closed-toe shoes and comfortable clothing that won't restrict your movement.
Mountain Biking,Mountain Biking,BikePark Wales,Brecon Beacons,Merthyr Tydfil,8-32.50,Full day,All Levels,Year-round,All,https://www.bikeparkwales.com,https://www.bikeparkwales.com,"BikePark Wales offers a full day of lift-accessed mountain biking trails for all skill levels. The park boasts a huge variety of trails from beginner-friendly flow trails to expert-only downhill runs, making it unique in its ability to cater to a wide spectrum of riders. Expect to spend the day riding multiple laps, potentially encountering queues for the uplift service during peak times, and the trails can get very muddy in wet weather.","Mountain bikers aged 8+ with some existing off-road riding experience, from novices looking to progress to advanced riders seeking challenging descents.","You are a complete beginner who has never ridden a bike off-road, or you dislike riding in wet and muddy conditions.","Check the BikePark Wales website for trail closures and uplift status before you travel, especially after periods of heavy rain. Also, consider booking uplift passes in advance, particularly on weekends."
Bike Hire - Enduro,Bike Hire,BikePark Wales,Brecon Beacons,Merthyr Tydfil,90-110,Full day,All Levels,Year-round,All,https://www.bikeparkwales.com,https://www.bikeparkwales.com,"Rent a high-end enduro mountain bike for a full day at BikePark Wales. This option provides a capable bike for tackling the park's challenging downhill trails without the commitment of ownership. Expect a full day of riding, with uplift services readily available (at extra cost) to maximize your time on the trails.",Experienced mountain bikers (16+) comfortable on black and red graded trails who want to push their limits on quality equipment.,"You're new to mountain biking, uncomfortable on steep terrain, or expect a leisurely ride on flat paths.","Book your uplift passes well in advance, especially on weekends, as they often sell out. Check the BikePark Wales website for trail closures and conditions before you arrive."
Coaching Session,MTB Coaching,BikePark Wales,Brecon Beacons,Merthyr Tydfil,99-150,Half-Full day,All Levels,Year-round,All,https://www.bikeparkwales.com,https://www.bikeparkwales.com,"This is a mountain bike coaching session at BikePark Wales, tailored to your skill level. Unlike group lessons, the personalized attention helps you break bad habits and build confidence faster. Be prepared for honest feedback; the coaches pull no punches.","Individuals aged 8+ (min age is approximate), who are new to mountain biking or want to improve specific skills and are open to constructive criticism.","You're easily discouraged by feedback, prefer learning at your own pace without instruction, or are already an expert-level rider.","Bring snacks and water, even for half-day sessions. The trails are physically demanding, and the on-site food options can be pricey."
Sea Kayaking,Sea Kayaking,Anglesey Adventures,Anglesey,Rhosneigr/Newborough,55-90,Half-Full day,All Levels,Mar-Oct,8,https://www.angleseyadventures.com,https://www.northwalesseakayaking.co.uk,"Explore the Anglesey coastline from a unique perspective with Steve Miles, a lifelong local and experienced sea kayaking guide. Choose from various courses, from gentle sea safaris on sit-on-top kayaks to advanced sessions tackling tide races and rough waters, all with a focus on small group sizes and personalized coaching. This isn't just a paddle; it's a chance to learn from someone deeply connected to the area and its waters.","Individuals or small groups (8+) looking for personalized sea kayaking instruction from a true local expert, regardless of current skill level.",You want a large-group tour experience or are strictly looking for sightseeing without any skills development.,Ask Steve about the best spots for seal sightings; he knows the coastline intimately and can point you in the right direction for wildlife encounters.
Coasteering,Coasteering,Anglesey Adventures,Anglesey,Rhosneigr,55-90,Half-Full day,All Levels,Mar-Oct,8,https://www.angleseyadventures.com,https://www.northwalesseakayaking.co.uk,"Explore Anglesey's coastline from a kayak, tailored to your skill level with North Wales Sea Kayaking. With a local expert leading the way, expect personalized coaching and a focus on both safety and enjoyment of the area's natural beauty.",Beginners eager to learn the basics and experienced kayakers looking to tackle more challenging waters.,You prefer independent exploration without guidance or have a strong aversion to being on the open water.,Ask Steve about the best spots for spotting local wildlife; he knows where the seals and seabirds tend to hang out.
Kitesurfing,Kitesurfing,Funsport Rhosneigr,Anglesey,Rhosneigr Beach,60-120,Half-Full day,All Levels,Year-round,12,https://www.funsportonline.co.uk,https://www.funsportonline.co.uk,"Learn to kitesurf at Rhosneigr Beach with Funsport, a long-standing watersports shop with passionate instructors. You'll start with ground-based kite control and safety before (hopefully!) getting onto the water to practice riding. This experience is unique because of the consistent wind conditions at Rhosneigr and the established reputation of Funsport.",Active individuals aged 12+ who enjoy a physical challenge and are comfortable in the water.,"You are uncomfortable being cold, get easily frustrated by a steep learning curve, or dislike being wet and sandy.","Check the wind forecast *specifically* for Rhosneigr before booking; it can differ significantly from other parts of Anglesey. Funsport often posts daily reports on their Instagram account, so check there for the most up to date information."
Kitesurfing,Kitesurfing,Gecko Surf,Anglesey,Rhosneigr Beach,60-120,Half-Full day,All Levels,Year-round,12,https://www.geckosurf.co.uk,https://rhosneigr.co.uk,"Learn to kitesurf on the beautiful Rhosneigr Beach with Gecko Surf! This lesson will get you up and riding, focusing on safety and essential skills; Rhosneigr is known for consistent winds, making it an ideal spot for beginners and those looking to improve.",Adventurous individuals aged 12+ with a reasonable level of fitness and comfort in the water.,"You are easily discouraged by physical challenges, dislike being cold and wet, or have a significant fear of open water and strong winds.","Check the wind forecast *before* booking - Rhosneigr is best with a southwest or west wind, but avoid days with gale-force warnings unless you're already experienced!"
Windsurfing,Windsurfing,Funsport Rhosneigr,Anglesey,Rhosneigr Beach,50-100,Half-Full day,All Levels,Year-round,12,https://www.funsportonline.co.uk,https://www.funsportonline.co.uk,"Learn the basics of windsurfing on Rhosneigr Beach with Funsport. This lesson focuses on getting you up on the board and understanding wind direction, making it a solid intro. What sets it apart is the consistent local wind and the shop's long-standing reputation; they know this beach inside and out.",Beginners aged 12+ with a basic level of fitness and a willingness to get wet and potentially fall... a lot.,"You are easily frustrated by slow progress, dislike being cold, or have a significant fear of open water.","Rhosneigr is known for its consistent winds, but check the forecast beforehand – it can get *too* windy for beginners. Ask Funsport about alternative sheltered locations nearby if the wind is too strong."
Wing Foiling,Wing Foiling,Funsport Rhosneigr,Anglesey,Rhosneigr Beach,60-120,Half-Full day,Intermediate,Year-round,14,https://www.funsportonline.co.uk,https://www.funsportonline.co.uk,"Learn to wing foil on the beautiful Rhosneigr Beach with Funsport. This experience offers expert tuition from passionate instructors, making it a great place to learn a challenging sport. But be prepared for a physical workout and potential wipeouts as you learn to balance and control the wing and the board.",Active teenagers and adults (14+) with good general fitness and some experience in board sports or watersports.,"You are easily discouraged by physical challenges, dislike being cold and wet, or are looking for a relaxing, low-impact activity.","Check the wind forecast carefully before booking, and be aware that Rhosneigr can get very windy, which affects the suitability for beginners."
Coasteering,Coasteering,Plas Menai,Anglesey,Menai Strait,55-85,Half day,All Levels,Mar-Oct,8,https://www.plasmenai.co.uk,https://www.plasmenai.co.uk,"Coasteering with Plas Menai involves traversing the rocky Anglesey coastline, swimming in the Menai Strait, and optional (but encouraged!) cliff jumping. This experience stands out due to the stunning location in the shadow of Snowdonia and the option to tailor the experience to different comfort levels with jumping.","Adventurous individuals, families with confident swimmers (8+), and those seeking a physically engaging way to explore the Welsh coast.","You are deeply afraid of heights, uncomfortable in cold water, or have limited mobility.",Wear old trainers or wetsuit boots – the barnacles on the rocks are sharp! Consider bringing a waterproof camera to capture the jumps (if you dare).
Sailing,Sailing,Plas Menai,Anglesey,Menai Strait,150-500,1-5 days,All Levels,Apr-Oct,8,https://www.plasmenai.co.uk,https://www.plasmenai.co.uk,"Learn to sail or improve your skills on the challenging and beautiful Menai Strait with Plas Menai's sailing courses. Courses range from beginner tasters to advanced RYA certifications, using a variety of boats to suit different skill levels and conditions. Be prepared for variable weather and strong tides that can make for exhilarating but demanding sailing.","Families with kids 8+, adults wanting RYA qualifications, or anyone who enjoys a physical and mentally engaging watersport in a scenic environment.","You are prone to seasickness, dislike being cold and wet, or prefer calmer waters with less intense instruction.","Bring layers of quick-drying clothing, even in summer, as the wind and water can make it feel much colder than the air temperature. A good waterproof jacket and trousers are essential."
Powerboating,Powerboating,Plas Menai,Anglesey,Menai Strait,150-400,1-3 days,All Levels,Apr-Oct,16,https://www.plasmenai.co.uk,https://www.plasmenai.co.uk,"Experience the thrill of piloting a powerboat through the challenging currents and stunning scenery of the Menai Strait. This isn't just a leisurely boat ride; it's a hands-on opportunity to learn boat handling skills and navigate real-world conditions, making it more demanding than a simple sightseeing tour, but immensely rewarding. Courses range from introductory sessions to multi-day certifications.","Thrill-seekers, aspiring boaters aged 16+ with a desire for practical skills and an interest in marine navigation.","You're prone to seasickness, intimidated by fast-moving water, or prefer passive, relaxing boat trips.","Bring layers of waterproof clothing, even on sunny days, as conditions on the Menai Strait can change rapidly, and the spray from the boat can be significant."
RIB Boat Ride,Boat Tour,Plas Menai,Anglesey,Menai Strait,35-55,1-2 hours,Family,Apr-Oct,All,https://www.plasmenai.co.uk,https://www.plasmenai.co.uk,"Experience the Menai Strait like never before on a rigid inflatable boat (RIB) ride. This isn't a sedate cruise; expect some speed, splashes, and potentially bumpy conditions as you explore the coastline and get close to the natural features. It's a shorter, adrenaline-fueled way to see the area than a traditional boat tour.","Families with older children (5+) seeking a quick, exciting boat trip and those interested in a taster of powerboating.","You are pregnant, have serious back problems, are very sensitive to motion sickness, or prefer a calm and relaxing sightseeing experience.","Wear layers, even on a sunny day, as it can get chilly out on the water, and bring a waterproof jacket to protect against splashes."
Coasteering,Coasteering,Gower Activity Centres,Gower,Rhossili/Port Eynon,55-85,Half-Full day,All Levels,Mar-Oct,8,https://www.goweractivitycentres.co.uk,https://www.nationalcoasteeringcharter.org.uk,"Coasteering with Gower Activity Centres involves traversing the rocky Gower coastline by swimming, scrambling, and jumping into the sea. This experience stands out due to its adherence to National Coasteering Charter standards, ensuring a focus on safety and environmental responsibility. Be prepared for a moderately challenging physical activity involving cold water and heights.","Adventurous individuals and families (8+) comfortable with heights and cold water, seeking an active coastal experience.","You dislike cold water, have a fear of heights, or prefer less physically demanding activities.","Check the tide times before you go! Low to mid-tide is usually best for exploring rock pools and safely navigating the coastline. Wetsuit thickness matters, consider bringing a warmer one if you feel the cold easily."
Coasteering,Coasteering,Rip N Rock,Gower,Gower Peninsula,55-85,Half-Full day,All Levels,Mar-Oct,8,https://www.ripnrock.co.uk,https://www.nationalcoasteeringcharter.org.uk,"Coasteering with Rip N Rock in the Gower Peninsula involves traversing the coastline by swimming, scrambling over rocks, and cliff jumping, all under the supervision of a guide. What sets this apart is Rip N Rock's commitment to safety standards set by the National Coasteering Charter and their deep knowledge of the Gower coastline, offering diverse routes suitable for various comfort levels with heights.","Adventurous families with kids aged 8+, confident swimmers looking for a unique coastal experience, and those wanting a guided introduction to coasteering.","You're terrified of heights, uncomfortable in the water even with a buoyancy aid, or have significant mobility issues.","Bring a waterproof camera to capture the adventure, and ask your guide about the local marine life you might encounter along the way. If you suffer from cold easily, consider bringing an extra thermal layer to wear under your wetsuit, especially during colder months."
Surfing,Surfing,Rip N Rock,Gower,Llangennith/Rhossili,45-75,Half day,Beginner,Year-round,8,https://www.ripnrock.co.uk,https://www.nationalcoasteeringcharter.org.uk,"Rip N Rock's surfing lesson at Llangennith/Rhossili offers a classic introduction to surfing on the Gower Peninsula's stunning beaches. You'll learn the basics of paddling, popping up, and wave etiquette. What sets this apart is the consistent wave conditions at these locations, ideal for beginners, combined with the experience of a local operator.",Beginners aged 8+ who are comfortable in the water and excited to try surfing for the first time.,"You are easily frustrated by physical challenges or prefer calm, still water activities.","Check the surf report the day before and the morning of your lesson - Llangennith is best at mid to low tide, and Rhossili often works when Llangennith is blown out."
Rock Climbing,Climbing,Rip N Rock,Gower,Gower coast,55-85,Half day,All Levels,Mar-Oct,8,https://www.ripnrock.co.uk,https://www.nationalcoasteeringcharter.org.uk,"Experience the thrill of rock climbing on the rugged Gower coast with Rip N Rock. This half-day session caters to all levels, from complete beginners to seasoned climbers, offering a chance to learn basic techniques or hone existing skills in a stunning natural environment. What sets this experience apart is the dedicated instruction focusing on coastal climbing, incorporating the unique challenges and rewards of this specific terrain.","Families with adventurous kids (8+), individuals looking for a physically and mentally engaging outdoor activity, or climbers who want to try a coastal environment.","You have a significant fear of heights, very limited upper body strength, or dislike being outdoors in potentially unpredictable weather.","Bring a waterproof camera or phone case; the coastal views are incredible, and you'll want to capture your accomplishments."
Surfing,Surfing,Llangennith Surf School,Gower,Llangennith Beach,40-65,Half day,Beginner,Year-round,8,https://www.llangennithsurf.co.uk,https://www.visitwales.com,"Learn to surf on the beautiful Llangennith Beach with Llangennith Surf School. This half-day lesson provides a basic introduction to surfing, focusing on getting you comfortable in the water and riding your first waves on one of Gower's most consistent surf spots. While the lesson is beginner-friendly, be prepared for a physical workout battling the waves!","Beginners aged 8+ who are reasonably fit, comfortable in the water, and eager to try surfing for the first time.","You dislike being cold, are afraid of the ocean, or aren't willing to put in the physical effort to learn.","Bring a towel and a warm change of clothes, as Llangennith can get windy even on sunny days, and you'll be glad to have something dry to change into after your lesson."
Coasteering,Coasteering,Quest Adventure,Gower,Swansea/Gower,50-75,Half day,All Levels,Mar-Oct,8,https://www.questadventure.co.uk,https://www.nationalcoasteeringcharter.org.uk,"Coasteering with Quest Adventure in Gower involves traversing the coastline by swimming, scrambling over rocks, and doing optional jumps into the sea. What sets this experience apart is Quest Adventure's adherence to the National Coasteering Charter's safety standards, providing a structured and well-managed introduction to the sport. Expect to get wet, potentially feel challenged by the heights, and learn about the coastal environment.",Adventurous individuals and families (8+) comfortable in the water and seeking a physical challenge with guidance.,"You are very afraid of heights, have limited mobility, or dislike being cold and wet.","Bring a waterproof camera or phone case to capture the experience, as there are some fantastic photo opportunities along the route."
Surfing,Surfing,Oxwich Watersports,Gower,Oxwich Bay,45-65,Half day,Beginner,Year-round,8,https://www.oxwichwatersports.co.uk,https://www.nationalcoasteeringcharter.org.uk,"Learn the basics of surfing in the relatively gentle waves of Oxwich Bay. This half-day session with Oxwich Watersports provides board, wetsuit, and instruction for complete beginners. What sets this apart is the consistent wave conditions at Oxwich, making it ideal for learning.",First-time surfers aged 8+ who are comfortable in the water and looking for a relaxed introduction to the sport.,"You're an experienced surfer looking for challenging waves or easily get cold, even in a wetsuit.","Oxwich Bay car park can get very busy, especially during peak season. Arrive early or consider using the park-and-ride service from nearby villages."
SUP Boarding,SUP,Oxwich Watersports,Gower,Oxwich Bay,35-55,2 hours,All Levels,Apr-Oct,8,https://www.oxwichwatersports.co.uk,https://www.nationalcoasteeringcharter.org.uk,"Enjoy a guided SUP (Stand-Up Paddleboarding) session on the calm waters of Oxwich Bay. This is a relaxed paddle, great for beginners as the bay offers sheltered conditions. The clear water also provides excellent views of the seabed, and sometimes even seals!","Families with older children (8+), beginner paddlers, or anyone wanting a gentle introduction to SUP boarding in a beautiful, safe environment.",You're looking for a high-intensity workout or challenging waves; this is a very sheltered location.,"Check the tide times before you go. Oxwich Bay is much nicer to paddle on at high tide, when there's more beach covered and the water is clearer."
Mountain Biking,Mountain Biking,Coed y Brenin,Mid Wales,Dolgellau,Free (parking),1-4 hours,All Levels,Year-round,All,https://www.beicsbrenin.co.uk,https://naturalresources.wales,"Mountain biking at Coed y Brenin offers a fantastic network of trails catering to a wide range of abilities. The park is well-maintained and signposted, making it easy to navigate. This is one of the UK's premier mountain biking destinations, providing a stacked range of options from beginner-friendly to seriously challenging.","Families with varied abilities, solo riders looking for well-marked trails, and mountain bikers progressing from beginner to intermediate.","You dislike crowds, are looking for extreme downhill trails only, or prefer completely natural, unmarked wilderness riding.","Download the trail map to your phone before you arrive as signal can be patchy in the forest; also, the cafe gets busy, especially during peak season, so consider packing your own snacks and drinks."
Trail Running,Trail Running,Coed y Brenin,Mid Wales,Dolgellau,Free (parking),1-3 hours,All Levels,Year-round,All,https://www.beicsbrenin.co.uk,https://naturalresources.wales,"Trail running at Coed y Brenin offers a variety of marked routes through stunning forest scenery, ranging from relatively flat lakeside paths to challenging climbs. What sets it apart is the sheer density of well-maintained trails, catering to a wide spectrum of abilities and preferences. Expect some mud year-round, and be prepared for changeable weather, even in summer.","Beginner to advanced trail runners, families seeking outdoor adventures, and those who enjoy varied terrain.","You dislike uneven surfaces, mud, potential rain, or prefer perfectly manicured paths.","Download a map of the trails before you go, as phone signal can be patchy in the forest. The visitor centre has paper maps available too."
Mountain Biking,Mountain Biking,Llandegla Oneplanet,Mid Wales,Llandegla,Free (parking £4.50),1-4 hours,All Levels,Year-round,All,https://www.oneplanetadventure.co.uk,https://www.alwaysonthego.co.uk,"Llandegla Oneplanet offers a network of marked mountain biking trails catering to various skill levels. What makes it stand out is the sheer variety and well-maintained nature of the trails, from beginner-friendly routes to more challenging downhill sections, all within a compact area. While the trails are graded, be prepared for some climbs regardless of the chosen route; even the 'easy' trails include some uphill sections.","Families with children who are already comfortable on bikes, or adults looking for a good introduction to trail riding.","You want purely flat, traffic-free cycling or aren't comfortable with potentially muddy conditions.","Download a map of the trails to your phone before you arrive, as phone signal can be patchy in the forest. The parking payment machine only takes card."
Bike Hire,Bike Hire,Llandegla Oneplanet,Mid Wales,Llandegla,35-80,Full day,All Levels,Year-round,All,https://www.oneplanetadventure.co.uk,https://www.mtb-rider.net,"Hire a mountain bike and explore the trails around Llandegla forest. This is a great option for those who want the freedom to explore at their own pace, choosing routes that match their skill level. Note that while the area is known for mountain biking, some trails are also suitable for hybrid bikes.","Families with varied biking experience, groups who want flexibility, or anyone preferring self-guided adventures.","You want lift-assisted downhill thrills, or prefer the social aspect and guidance of a group ride.","Download a trail map to your phone *before* you arrive, as mobile signal in the forest can be patchy."
Surfing,Surfing,AberAdventures,Mid Wales,Borth/Ynyslas,40-65,Half day,Beginner,Year-round,8,https://www.aberadventures.co.uk,https://www.visitmidwales.co.uk,Learn to surf on the sandy beaches of Borth or Ynyslas with AberAdventures. They provide the board and instruction; you provide the enthusiasm (and maybe a wetsuit if you're sensitive to cold water). The relatively gentle waves here make it a good place to start.,Beginners (ages 8+) looking for a fun introduction to surfing in a supportive environment.,You're expecting consistently large waves or have a strong aversion to cold water and physical exertion.,Check the tide times before booking! Low tide can mean a very long walk across the sand to reach the waves.
Paddle Boarding,SUP,AberAdventures,Mid Wales,Borth/Llyn Pendam,35-55,2 hours,All Levels,Apr-Oct,8,https://www.aberadventures.co.uk,https://www.visitmidwales.co.uk,"This is a two-hour paddle boarding session with AberAdventures, taking place either on the calm waters of Llyn Pendam lake or, weather permitting, on the sea at Borth. The Borth location offers the chance of spotting marine wildlife, while Llyn Pendam provides a sheltered and tranquil experience. Be prepared for a full body workout, especially if the wind picks up!",Active families with children aged 8+ who enjoy being on the water and are looking for a gentle workout and some nature spotting.,"You are afraid of open water, have limited upper body strength, or prefer high-adrenaline water sports.","If the session is at Borth, check the tide times beforehand. Low tide can mean a long walk to the water with your board!"
Kayaking,Kayaking,AberAdventures,Mid Wales,Borth area,40-65,Half day,All Levels,Apr-Oct,8,https://www.aberadventures.co.uk,https://www.visitmidwales.co.uk,"Explore the scenic coastline near Borth by kayak with AberAdventures. This half-day trip offers a relaxed paddle suitable for beginners, but the unpredictable Welsh weather means conditions can change quickly. What sets this apart is the chance to explore hidden coves and potentially spot local wildlife along the rugged coastline.",Families with older children (8+) seeking a gentle introduction to kayaking and coastal exploration.,You are looking for a high-adrenaline watersports experience or dislike being exposed to potentially choppy sea conditions.,Check the tide times before you go; kayaking at high tide gives you access to areas you can't reach at low tide.
SUP,SUP,Meadow Springs,Mid Wales,Trefeglwys,35-50,2 hours,All Levels,Apr-Oct,8,https://www.visitmidwales.co.uk,https://www.visitmidwales.co.uk,"Explore the tranquil waters of Trefeglwys via stand-up paddleboard with Meadow Springs. This SUP experience offers a gentle introduction to the sport, suitable for beginners, on a calm lake environment in Mid Wales. It's a relaxed paddle, not an adrenaline-fueled adventure.","Families with children aged 8+, beginners wanting a calm water introduction to SUP, and those seeking a peaceful nature experience.","You're looking for challenging rapids, advanced SUP techniques, or high-speed watersports.","Bring a waterproof bag for your phone and keys, and consider wearing quick-drying clothes or swimwear even on a sunny day – splashes are inevitable!"
Surfing,Surfing,Hell's Mouth Surf School,Llŷn Peninsula,Porth Neigwl (Hell's Mouth),40-65,Half day,Intermediate/Advanced,Year-round,12,https://www.hellsmouthsurfschool.co.uk,https://www.visitwales.com,"This is a half-day surfing lesson at Hell's Mouth, a beach known for its powerful waves and consistent surf. It's special because of the raw, exposed nature of the coastline, offering a more challenging and less crowded surfing experience compared to more sheltered beaches. Be prepared for potentially tough conditions.",Experienced surfers (12+) looking for a less-crowded location and a more challenging wave.,"You are a complete beginner, nervous in powerful surf, or prefer calm, gentle conditions.","Check the surf report *very* carefully before booking and be honest with yourself about your abilities. Hell's Mouth can get very big, very quickly."
Surfing,Surfing,Porth Neigwl Surf School,Llŷn Peninsula,Porth Neigwl,40-65,Half day,All Levels,Year-round,8,https://www.porthneigwlsurf.co.uk,https://www.visitwales.com,"Learn to ride the waves at Porth Neigwl, a popular surf spot on the Llŷn Peninsula, with lessons from Porth Neigwl Surf School. This half-day experience provides all the equipment and instruction needed to get you standing up, with the advantage of consistent swells that are ideal for beginners and intermediates alike. Don't expect to be a pro after one session, but you should catch a few waves and have a good laugh.","Beginner and intermediate surfers, families with kids aged 8+, and those wanting a fun, active beach experience.","You dislike cold water, are physically unable to paddle or stand, or demand guaranteed success on your first try.","Bring a towel and warm clothes for after your lesson – the wind can pick up quickly on Porth Neigwl, even in summer. Also, check the tide times beforehand as the beach changes dramatically."
Sea Kayaking,Sea Kayaking,Llŷn Adventures,Llŷn Peninsula,Abersoch/Pwllheli,55-85,Half-Full day,All Levels,Mar-Oct,8,https://www.llynadventures.co.uk,https://www.visitwales.com,"Explore the Llŷn Peninsula coastline from a unique perspective with a guided sea kayaking tour. Depending on conditions and group ability, you'll paddle along sheltered bays and coves, potentially landing on secluded beaches. What makes this special is the local operator's knowledge of the area, including hidden gems and wildlife spotting opportunities.","Families with older children (8+), beginners looking for a gentle introduction to sea kayaking, and those keen to explore the coastline at a relaxed pace.",You're looking for a high-adrenaline kayaking experience or have significant mobility issues that make getting in and out of a kayak difficult.,"Bring a dry bag for your phone and any valuables you want to take on the water, even if the weather looks calm."
Coasteering,Coasteering,Llŷn Adventures,Llŷn Peninsula,Abersoch area,55-85,Half day,All Levels,Mar-Oct,8,https://www.llynadventures.co.uk,https://www.visitwales.com,"Coasteering with Llŷn Adventures is a guided exploration of the Abersoch coastline that involves traversing rocks, swimming in the sea, and optional cliff jumping. This experience stands out due to its location on the rugged Llŷn Peninsula and caters to families and individuals with varying levels of adventure-seeking inclinations. While the operator states ""all levels"", be aware that any coasteering requires comfort in the sea and some level of physical agility.","Active families with kids aged 8+, confident swimmers looking for an adventurous coastal experience.","You're afraid of heights, cold water, or are not a reasonably confident swimmer; or if you're looking for a completely dry, relaxed activity.","Bring a waterproof camera if you want to capture the experience, and consider wearing rash vest under your wetsuit for extra warmth, especially in early or late season."
Stand Up Paddleboarding,SUP,Llŷn Adventures,Llŷn Peninsula,Abersoch,45-65,2-3 hours,All Levels,Apr-Oct,8,https://www.llynadventures.co.uk,https://www.visitwales.com,"Enjoy a guided stand-up paddleboarding session in Abersoch with Llŷn Adventures. This experience focuses on exploring the coastline at a relaxed pace, making it ideal for beginners and families. While Abersoch can get busy, this operator knows the quieter spots, offering a more peaceful experience.","Families with kids aged 8+, beginners looking for a calm introduction to SUP, and those who prefer a relaxed pace over extreme adventure.","You're seeking high-intensity watersports, rough wave conditions, or have limited patience for learning new skills.",Check the tide times before you go! Low tide can expose sandbanks and make paddling trickier in certain areas. Ask Llŷn Adventures for advice on the best time to go based on the day's conditions.
Sailing,Sailing,Abersoch Sailing School,Llŷn Peninsula,Abersoch,150-400,1-5 days,All Levels,Apr-Oct,8,https://www.abersochsailingschool.co.uk,https://www.visitwales.com,"Learn to sail in the beautiful coastal waters off Abersoch. This sailing school offers courses from beginner to advanced, using the natural harbor and nearby bays to teach practical skills. The courses are run in a sheltered bay, but conditions can still get challenging depending on the wind.","Families with children aged 8+, beginners eager to learn the basics, and those who enjoy hands-on outdoor activities.","You are prone to seasickness, dislike being wet or cold, or prefer structured classroom learning to practical experience.","Bring layers of clothing, even on a sunny day. The wind off the sea can be surprisingly chilly, and waterproofs are essential, even in summer."
Jet Skiing,Jet Ski,Abersoch Watersports,Llŷn Peninsula,Abersoch,60-120,1-2 hours,Intermediate,Apr-Oct,16,https://www.abersochwatersports.co.uk,https://www.visitwales.com,"Experience the thrill of jet skiing on the clear waters off Abersoch. This isn't just a gentle cruise; expect to open up the throttle and feel the speed as you explore the coastline. What sets this apart is the open ocean location, allowing for longer runs and potentially encountering some choppy conditions.","Confident swimmers aged 16+ with some experience of motorised watersports, looking for an adrenaline rush.","You're nervous around water, uncomfortable with speed, or expecting a leisurely sightseeing tour.","Book your session for earlier in the day, as the wind tends to pick up in the afternoon, making the sea rougher."
Powerboat Tours,Boat Tour,Abersoch Watersports,Llŷn Peninsula,Abersoch,45-85,1-2 hours,Family,Apr-Oct,All,https://www.abersochwatersports.co.uk,https://www.visitwales.com,"Abersoch Watersports' Powerboat Tours offer a thrilling way to experience the Llŷn Peninsula coastline. Expect high speeds and potentially bumpy rides as you explore the area by sea. This tour stands out due to its focus on adrenaline-pumping fun rather than sightseeing, making it a more active experience.","Families with older children (8+) seeking an exciting boat ride, and thrill-seekers looking for a quick adrenaline fix.","You are prone to seasickness, have back problems, or prefer calm and relaxed boat trips focused on wildlife spotting and scenery.","Wear waterproof clothing or a windbreaker, even on sunny days, as you're likely to get splashed during the faster sections of the tour."
