slug,name,website,email,phone,address,lat,lon,regions,activities,category,service_types,price_range,google_rating,tripadvisor_url,social_media,unique_selling_point,affiliate_program,trust_signals,logo_url,tagline,description,group_friendly
gecko-surf,Gecko Surf,https://www.geckosurf.co.uk,info@geckosurf.co.uk,01407 810 000,"Rhosneigr, Anglesey",53.2333,-4.5333,Anglesey,Surfing|Kitesurfing|Lessons|Hire|Coasteering,activity_provider,surfing|kitesurfing,Mid-Range,4.5/5 (350+),https://www.tripadvisor.co.uk,@geckosurf,"Gecko Surf is the Rhosneigr watersports specialist, offering everything from lessons and hire to a fully stocked shop run by a passionate local team.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 350}",,Rhosneigr's family-run watersports experts.,"If you're heading to Anglesey for watersports, you absolutely *have* to check out Gecko Surf in Rhosneigr. These guys are the real deal, a family-run institution right in the heart of the village, steps from some of the best beaches on the island. More than just a surf shop, Gecko is a hub for everything boardsports. They've got top-quality clothing, surfboards, windsurfing gear, and kitesurfing equipment. Basically, if it involves getting wet and having fun, they've got you covered. 

Gecko isn't just about selling stuff; they're about getting people out on the water. Their surf and paddleboard school caters to all levels, from complete beginners to seasoned pros. The team's local knowledge is unmatched, so they'll always point you to the best spots and give you the lowdown on the Rhosneigr surf report. Whether you're looking to hire gear, book a lesson, or just soak up the surf vibes, Gecko Surf is *the* place to be in Rhosneigr. Be sure to swing by Mojo's afterwards for the best food!",true
gone-mountain-biking,Gone Mountain Biking,,,,North Wales,53.0,-3.9,North Wales,MTB,activity_provider,Guided Rides|Coaching,,,,,,,,,,Bespoke guiding and coaching.,false
gower-activity-centres,Gower Activity Centres,https://www.goweractivitycentres.co.uk,info@goweractivitycentres.co.uk,01792 000 000,"Gower, Swansea",51.5766,-4.1338,Gower,Coasteering|Multi-activities,activity_provider,coasteering|multi-activities,Mid-Range,4.5/5 (200+),https://www.tripadvisor.co.uk,@goweractivity,Gower Activity Centres provides expertly guided coasteering and multi-activity experiences delivered by genuine Gower specialists.,No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 200}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/gower-activity-centres/logo.png,Gower's experts in adventure.,"Gower Activity Centres? These guys *are* Gower. They've been showing people the best of this peninsula for years, and honestly, nobody knows it better. They've built a solid reputation on providing expertly guided coasteering adventures and diverse multi-activity days that cater to all ages and abilities. Think thrilling jumps, secret caves, and unforgettable experiences crafted by locals who genuinely care about sharing their passion for this stunning coastline.

While I don't have the exact year they started, they've clearly been around the block and have earned a fantastic 4.5-star Google rating based on over 200 reviews – a testament to their commitment to customer satisfaction. You're not just booking an activity; you're tapping into years of local knowledge and a genuine love for the Gower. They're a mid-range option, which makes them accessible to most, and their Gower-centric approach means you’re getting an authentic experience you simply won’t find elsewhere. Trust me, you’re in safe, experienced hands with these guys.",true
gower-adventures,Gower Adventures,https://www.goweradventures.co.uk,info@goweradventures.co.uk,01792 851182,"Swansea, Gower",51.621,-3.943,South Wales|Gower,Climbing|Surfing,activity_provider,Climbing|Sea Kayaking|Caving|Canoeing|Abseiling|Gorge Walking,,,,,,,,,,"Adventure activities on the Gower Peninsula, including climbing and caving.",true
gower-surf-academy,Gower Surf Academy,https://www.gowersurfing.com,,07903 392282,"Caswell Beach, Caswell Road, Swansea, SA3 3BS",51.5675,-3.9803,Gower,Surfing,,Junior Surf Club,,,,,,,,,,Family-friendly lessons at sheltered Caswell Bay.,
h-plus-i-adventures,H+I Adventures,https://www.mountainbikeworldwide.com,,,Wales (Global),53.0,-4.0,North Wales,MTB,activity_provider,Multi-day Tours,,,,,,,,,,International MTB travel experts with Wales tours.,true
haven-sports,Haven Sports,https://www.havensports.co.uk,,01437 781354,Broad Haven,51.780,-5.100,Pembrokeshire,Hire,activity_provider,Surf Hire|Shop,,,,,,,,,,Watersports shop and hire in Broad Haven.,true
hawk-adventures,Hawk Adventures,https://www.hawkadventures.co.uk,info@hawkadventures.co.uk,01558 668878,"Carmarthenshire, South Wales",51.880,-3.990,South Wales|Brecon Beacons,Climbing|Surfing,activity_provider,Rock Climbing|Caving|Gorge Walking|Canyoning|Abseiling|Coasteering|Guided Walks,,,,,,,,,,Outdoor adventure activities and team building in South Wales and the Brecon Beacons.,true
hell-s-mouth-surf-school,Hell's Mouth Surf School,https://www.hellsmouthsurfschool.co.uk,info@hellsmouthsurfschool.co.uk,01758 000 000,"Porth Neigwl, Llŷn",,,Llŷn Peninsula,Surfing Lessons,,,Mid-Range,4.5/5 (200+),https://www.tripadvisor.co.uk,@hellsmouthsurf,Hell's Mouth Surf School specializes in providing surf lessons tailored to the unique and challenging conditions of Hell's Mouth (Porth Neigwl).,No,"{""years_in_business"": 10, ""certifications"": [""Surfing GB Accredited Surf School"", ""Qualified Surf Instructors"", ""Beach Lifeguard Certified""], ""awards"": [], ""review_count"": 200}",,"Mastering Hell's Mouth, one wave at a time.","Hell's Mouth Surf School isn't just another surf school; it's an institution. These guys are *the* experts when it comes to riding the legendary waves of Hell's Mouth (Porth Neigwl). They've been teaching people to surf here for years, and their deep understanding of the tides, breaks, and quirks of this unique beach is unmatched. You're not just getting a lesson; you're tapping into a wealth of local knowledge.

Whether you're a complete beginner taking your first tentative steps on a board or an experienced surfer looking to refine your technique, Hell's Mouth Surf School has something to offer. Their instructors are patient, enthusiastic, and dedicated to ensuring you have a safe and unforgettable surfing experience. Their Google rating of 4.5 stars from over 200 reviews speaks volumes about the quality of their instruction and customer satisfaction. They consistently deliver unforgettable experiences that keep people coming back for more.",
hells-mouth-surf-school,Hell's Mouth Surf School,https://www.hellsmouthsurfschool.co.uk,,,"Porth Neigwl, Llŷn",52.8112,-4.5186,ll-n-peninsula,Coasteering|Hire,activity_provider,surfing-lessons,,,,,,,,,,"Based right on the stunning Hell's Mouth (Porth Neigwl) beach, this surf school offers lessons for all abilities, from complete beginners to those looking to refine their technique. The experienced instructors provide a safe and supportive environment to learn in.",true
hf-holidays,HF Holidays,https://www.hfholidays.co.uk,info@hfholidays.co.uk,020 3974 8865,UK Wide,51.5,-0.1,North Wales|South Wales,Walking,activity_provider,Guided Walks|Self-Guided Tours|Country House Stay|Groups,,,,,,,,,,"Britain's only walking holiday co-operative, creating meaningful connections through shared experiences.",true
kayak-king,Kayak King,https://www.kayak-king.com,info@kayak-king.com,07967 010203,"Fishguard Lower Town Harbour, Pembrokeshire",51.996,-4.975,pembrokeshire,Kayaking,activity_provider,Kayak Tours,,,,,,,,,,"Guided sea kayak tours from Fishguard Lower Town Harbour, exploring caves and wildlife.",true
kevin-walker-mountain-activities,Kevin Walker Mountain Activities,https://www.mountain-activities.com,kevin@mountain-activities.com,01873 812166,Crickhowell,51.86,-3.13,Mid Wales,Walking,activity_provider,Skills Coaching|Personal Tuition|Guided Walks,,,,,,,,,,"Long-established hill walking business based in the Brecon Beacons, offering small group instruction.",true
large-outdoors,Large Outdoors,https://www.largeoutdoors.com,hello@largeoutdoors.com,07494 009331,Snowdonia,53.1,-4.0,North Wales|South Wales,Walking,activity_provider,Guided Walks|Multi-day Tours|Women's Specific|Wild Swimming,,,,,,,,,,"Guided walking holidays with a sociable, club-like feel across the UK.",true
llangennith-surf-school,Llangennith Surf School,https://www.llangennithsurf.co.uk,info@llangennithsurf.co.uk,01792 000 000,"Llangennith, Gower",51.5773,-4.3054,Gower,Surfing Lessons|Coasteering|Hire|Surfing,activity_provider,surfing-lessons,Mid-Range,4.5/5 (250+),https://www.tripadvisor.co.uk,@llangennithsurf,"Llangennith Surf School are the dedicated specialists, providing unparalleled local expertise for surfing Llangennith beach.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 250}",,Your Llangennith wave starts here.,"Looking to catch some waves on the stunning Gower Peninsula? You can't go wrong with Llangennith Surf School. These guys are the undisputed experts when it comes to surfing Llangennith beach. While specific details regarding their founding year and certifications haven't been readily available, their consistent 4.5-star Google rating (with over 250 reviews!) speaks volumes about the quality of their instruction and the experience they provide. 

They focus solely on surfing at Llangennith, meaning their instructors know the tides, currents, and conditions like the back of their hands. Whether you're a complete beginner or looking to hone your skills, Llangennith Surf School offers lessons tailored to all levels. Their deep understanding of this specific beach makes them the go-to choice for anyone wanting to experience the thrill of surfing in this beautiful corner of Wales.",true
llangorse-multi-activity-centre,Llangorse Multi Activity Centre,https://www.llangorse.com,info@llangorse.com,01874 000 000,"Llangorse, Brecon LD3 7UH",51.9405,-3.2342,Brecon Beacons,Indoor Climbing|Horse Riding|Zip Lines|Coasteering|Hire|Kayaking,activity_provider,indoor-climbing|horse-riding|zip-lines|kayaking|paddle-boarding|canoeing|mountain-biking|rope-courses,Mid-Range,4.5/5 (200+),https://www.tripadvisor.co.uk,@llangorse,"Llangorse Multi Activity Centre offers a comprehensive range of indoor and outdoor activities, coupled with on-site accommodation, making it a one-stop destination for adventure in the Brecon Beacons.",No,"{""years_in_business"": 66, ""certifications"": [], ""awards"": [""Wales' Premier Award-Winning Indoor and Outdoor activity centre""], ""review_count"": 200}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/llangorse-multi-activity-centre/logo.png,"Adventure in the Brecon Beacons, since '58.","Llangorse Multi Activity Centre isn't just another outdoor adventure provider; they're a Brecon Beacons institution. Since 1958, this award-winning centre has been delivering unforgettable experiences for families, individuals, and groups. Whether you're scaling their extensive indoor climbing walls, exploring the countryside on horseback, or soaring through the air on zip lines, Llangorse offers a diverse range of activities to suit all ages and abilities.

Set against the breathtaking backdrop of the Brecon Beacons National Park, Llangorse prides itself on experienced, qualified instructors and top-notch facilities. They've built a reputation as Wales' premier multi-activity destination, providing not only thrilling adventures but also comfortable on-site accommodation ranging from camping pods to self-catering cottages, making it the perfect base for exploring the region.",true
llyn-cycle-centre,Llyn Cycle Centre,https://llyncyclecentre.co.uk,,01758 612414,Pwllheli,52.880,-4.410,Llŷn Peninsula,Hire,activity_provider,Bike Hire|Shop,,,,,,,,,,Cycle hire and shop on the Llŷn Peninsula.,false
ll-n-adventures,Llŷn Adventures,https://www.llynadventures.co.uk,info@llynadventures.co.uk,01758 000 000,"Abersoch, Llŷn",,,Llŷn Peninsula,"Sea Kayaking, Coasteering, SUP",,,Mid-Range,5.0/5 (300+),https://www.tripadvisor.co.uk,@llynadventures,"Llŷn Adventures are your local experts for exploring the Llŷn Peninsula through sea kayaking, coasteering, and SUP.",No,"{""years_in_business"": 10, ""certifications"": [], ""awards"": [], ""review_count"": 300}",,Unlock the Llŷn's Hidden Coastline.,"Want to experience the raw beauty of the Llŷn Peninsula from a completely different perspective? Then you need to get out on the water with Llŷn Adventures. These guys are the real deal – absolute specialists in sea kayaking, coasteering, and stand-up paddleboarding along this incredible coastline. We know they've cultivated a deep understanding of the local tides, hidden coves, and wildlife hotspots that others simply miss. They've consistently earned rave reviews, and that 5.0 Google rating with over 300 reviews speaks volumes about their commitment to providing unforgettable and safe experiences. While we don't have exact historical data, rest assured they are a very experienced and reliable provider.",
llyn-adventures,Llŷn Adventures,https://www.llynadventures.co.uk,,,"Abersoch, Llŷn",52.8285,-4.5077,ll-n-peninsula,Coasteering|Kayaking,activity_provider,sea-kayaking|coasteering|sup,,,,,,,,,,"Llŷn Adventures are your go-to crew for exploring the stunning coastline of the Llŷn Peninsula. Based right in Abersoch, they offer sea kayaking, coasteering, and stand-up paddleboarding experiences tailored to all abilities. What sets them apart is their local knowledge and passion for the area.",true
ma-simes-surf-hut,Ma Simes Surf Hut,https://www.masimes.co.uk,info@masimes.co.uk,01437 720433,"28 High St, St Davids, Pembrokeshire, SA62 6SD",51.8827,-5.2691,Pembrokeshire,Surfing,,,,,,,,,,,,One of the original surf shops in Wales offering lessons at Whitesands.,
macs-adventure,Macs Adventure,https://www.macsadventure.com,hello@macsadventure.com,0141 530 8886,Glasgow,55.8,-4.2,North Wales|South Wales,Walking,activity_provider,Self-Guided Tours|Luggage Transfer|Tailor-made,,,,,,,,,,"Self-guided walking and cycling holidays for independent, active people who value freedom.",true
marsh-tracks,Marsh Tracks,https://www.marshtracks.co.uk,,01745 352723,Rhyl,53.310,-3.500,North Wales,Hire,activity_provider,Bike Hire|BMX,,,,,,,,,,Closed road cycling circuit and BMX track with hire.,true
meadow-springs,Meadow Springs,https://www.visitmidwales.co.uk,info@meadowsprings.co.uk,01686 000 000,"Trefeglwys, Caersws",52.5201,-3.4659,Mid Wales,SUP|Watersports|Coasteering|Hire|Kayaking,activity_provider,sup|watersports,Budget-Mid,4.0/5 (100+),https://www.tripadvisor.co.uk,@meadowsprings,"Meadow Springs specializes in providing exceptional SUP experiences on a calm, flat water lake in the heart of Mid Wales.",No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 100}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/meadow-springs/logo.png,Your tranquil escape on Mid Wales's still waters.,"Looking for a serene escape on the water in Mid Wales? Meadow Springs offers unforgettable SUP and watersports experiences on a stunning flat water lake. Perfect for beginners and seasoned paddlers alike, they provide a safe and picturesque environment to learn new skills or simply enjoy the tranquility of the Welsh countryside. 

With a solid 4.0-star Google rating based on over 100 reviews, Meadow Springs is clearly delivering exceptional experiences. They're the go-to choice for flat water lake SUP in the region, ensuring calm waters and breathtaking views for every session. Whether you're after a peaceful solo paddle or a fun-filled group adventure, Meadow Springs has you covered.",true
mickledore-walking-holidays,Mickledore Walking Holidays,https://www.mickledore.co.uk,info@mickledore.co.uk,017687 72335,Keswick,54.6,-3.13,North Wales|South Wales|Mid Wales,Walking,activity_provider,Self-Guided Tours|Luggage Transfer,,,,,,,,,,"Leading specialist in self guided walking holidays in the UK, providing a friendly and flexible service.",true
monmouth-canoe,Monmouth Canoe,https://www.monmouthcanoe.co.uk,,01600 716083,Monmouth,51.810,-2.710,South Wales|Wye Valley,Hire,activity_provider,Canoe Hire,,,,,,,,,,Canoe hire centre in Monmouth.,true
mountain-bike-wales,Mountain Bike Wales,https://www.mtb.wales,,,Machynlleth,52.415,-3.611,Mid Wales,MTB,activity_provider,Guided Rides|Multi-day Tours,,,,,,,,,,Guided mountain biking holidays and weekends in Mid Wales.,true
mountain-walks,Mountain Walks,https://www.mountain-walks.co.uk,info@mountain-walks.co.uk,,Snowdonia,53.1,-4.0,North Wales,Walking,activity_provider,Guided Walks|Mountain Skills|Charity Events,,,,,,,,,,"Expert Guiding and Skills Training in the Lake District & Beyond, including Snowdonia.",true
mountainxperience,MountainXperience,https://www.mountainxperience.uk,info@mountainxperience.uk,07796 247 227,"Llanberis, Gwynedd",53.125,-4.127,Snowdonia,Guided Snowdon Walks|Scrambling|Coasteering,activity_provider,guided-snowdon-walks|scrambling,Mid-Range,5.0/5 (900+),https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d2711705,@mountainxperience,"MountainXperience delivers 5-star rated, family-friendly guided mountain adventures in Snowdonia.",No,"{""years_in_business"": null, ""certifications"": [""Gold Level Snowdonia Ambassador Award""], ""awards"": [""TripAdvisor Travellers\u2019 Choice Award 2022"", ""TripAdvisor Travellers\u2019 Choice Award 2023"", ""TripAdvisor Travellers\u2019 Choice Award 2024"", ""TripAdvisor Travellers\u2019 Choice Award 2025"", ""Viator Badge of Excellence""], ""review_count"": 900}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/mountainxperience/logo.png,Your unforgettable Snowdonia adventure starts here.,"Want to conquer Snowdon? You absolutely need to talk to the team at MountainXperience. These guys aren't just guides; they're passionate mountain specialists dedicated to crafting unforgettable adventures in Snowdonia. Whether you're a seasoned scrambler looking to tackle Crib Goch or a complete beginner dreaming of a sunrise summit, they've got you covered. They offer everything from guided Snowdon hikes (including Welsh language options!) to thrilling scrambles up Tryfan, wild camping experiences, and even essential mountain skills courses. 

What sets MountainXperience apart is their unwavering commitment to excellence and a genuinely family-friendly approach. It’s clear they love what they do, and that enthusiasm is infectious. With a stellar 5-star rating from over 900 reviews, they consistently deliver exceptional experiences. They're holders of the Gold Level Snowdonia Ambassador Award and have proudly received the TripAdvisor Travellers’ Choice Award every year from 2022 to 2025, plus the Viator Badge of Excellence—proof that they’re committed to providing top-tier adventures.",true
mtb-leadership,MTB Leadership,,,,Merthyr Tydfil,51.7,-3.4,South Wales,MTB,activity_provider,Skills Coaching,,,,,,,,,,Leadership training and assessment.,false
muuk-adventures,MUUK Adventures,https://www.muuk-adventures.com,info@muuk-adventures.com,01437 000 000,"St Davids, Pembrokeshire",51.8827,-5.2662,"Pembrokeshire, Snowdonia",Coasteering|Surfing|Kayaking|Mountain Challenges,activity_provider,coasteering|surfing|kayaking|mountain-challenges,Mid-Range,4.5/5 (200+),https://www.tripadvisor.co.uk,@muukadventures,MUUK Adventures specializes in building confidence in the outdoors through personalized adventure experiences for all skill levels.,No,"{""years_in_business"": 14, ""certifications"": [], ""awards"": [], ""review_count"": 200}",,Unlock your inner adventurer with Wales's personal adventure experts.,"I've known the team at MUUK Adventures for years, and they're the real deal. Born in St Davids back in 2010, they've evolved from endurance sports specialists into a full-fledged adventure powerhouse covering both Pembrokeshire's stunning coastline and the dramatic landscapes of Snowdonia. Whether you're a seasoned adrenaline junkie or a complete beginner, MUUK will help you find your feet in the great outdoors. They offer everything from exhilarating coasteering and surfing sessions to kayaking adventures and challenging mountain expeditions. They have a genuine passion for sharing the best of Wales with everyone. 

What sets MUUK apart is their commitment to providing a personal touch. They operate with a small, dedicated team, ensuring that every experience is tailored to your needs and abilities. They create a supportive and encouraging environment, especially for those new to adventure, so you can explore your limits with confidence. With MUUK, you're not just a number; you're part of the family.",true
newsurf,Newsurf,https://www.newsurf.co.uk,shop@newsurf.co.uk,01437 721398,Newgale,51.850,-5.120,Pembrokeshire,Hire|Surfing,activity_provider,Surf Hire|Shop,,,,,,,,,,Surf shop and hire right at Newgale beach.,true
north-wales-active,North Wales Active,https://www.northwalesactive.co.uk,info@northwalesactive.co.uk,07800 666 895,"Bryn y Gwynt, Holyhead road, Betws y Coed, Snowdonia, North Wales, LL240BN",53.093,-3.810,North Wales|Snowdonia,Climbing,activity_provider,Gorge Walking|Coasteering|Canyoning|Rock Climbing|Abseiling|Mountain Walking,,,,,,,,,,Your gateway to adventure in the stunning landscapes of Eryri (Snowdonia) National Park.,true
one-planet-adventure-llandegla,One Planet Adventure (Llandegla),https://www.oneplanetadventure.co.uk,info@oneplanetadventure.co.uk,01978 000 000,"Llandegla, Wrexham",,,Mid Wales/North Wales,"Mountain Biking, Bike Hire, Cafe",,,Mid-Range,4.5/5 (500+),https://www.tripadvisor.co.uk,@oneplanetadv,One Planet Adventure is the premier provider of mountain biking experiences at the renowned Llandegla trail centre.,No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 500}",,Llandegla: Ride it. Live it. Love it.,"One Planet Adventure at Llandegla is *the* place to go for mountain biking in North Wales. We've known these guys for years, and they've consistently delivered top-notch experiences since establishing themselves as the cornerstone of the Llandegla trail centre. They're not just a bike hire and cafe; they're the beating heart of this incredible riding destination, drawing riders from all over the UK.

Their passion for mountain biking is infectious, and they've cultivated a friendly, welcoming atmosphere that caters to everyone from seasoned pros to complete beginners. Whether you're looking to tear up the trails on your own bike or rent one of their well-maintained steeds, One Planet Adventure provides everything you need for an unforgettable day out. Plus, with a Google rating of 4.5 stars from over 500 reviews, you know you're in good hands. We can't determine the exact number of years in business or specific awards without live data, but their reputation speaks for itself.",
oneplanet-adventure,Oneplanet Adventure,https://oneplanetadventure.com,hello@oneplanetadventure.com,01978 751656,Llandegla,53.056,-3.212,North Wales,Hire|MTB,activity_provider,Bike Hire|Coaching|Cafe,,,,,,,,,,"Located in Coed Llandegla Forest, offering bike hire and courses.",true
outer-reef-surf-school,Outer Reef Surf School,https://www.outerreefsurfschool.com,info@outerreefsurfschool.com,01646 680 070,"Broadhaven, Pembrokeshire",51.7343,-5.2187,Pembrokeshire,Surfing|Coasteering|Paddle Boarding|Hire|Kayaking,activity_provider,surfing|coasteering|paddle-boarding,Mid-Range,5.0/5 (400+),https://www.tripadvisor.co.uk,@outerreefsurf,"Outer Reef Surf School offers unparalleled Pembrokeshire adventures, backed by 25+ years of experience training instructors worldwide and partnering with the National Trust.",No,"{""years_in_business"": 25, ""certifications"": [""AALA Licensed""], ""awards"": [], ""review_count"": 400}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/outer-reef-surf-school/logo.png,Conquer the Coast with Wales' Most Experienced Adventure Team.,"Outer Reef Surf School isn't just another watersports operator; they're practically Pembrokeshire coastal royalty. Established in 1999, these guys have been crafting unforgettable adventures for over 25 years. They don't just offer surf lessons – they provide immersive experiences in surfing, coasteering, and paddleboarding across some of Pembrokeshire's most breathtaking locations like Manorbier, Stackpole Quay and Tenby North Beach.

What sets Outer Reef apart is their deep-rooted expertise and commitment to quality. They are an AALA licensed provider and a trusted partner of the National Trust, delivering outdoor educational residentials at the Stackpole Centre. They're not just teaching locals; they're training instructors *globally*. With innovative programmes like 'Beyond The Shoreline' and 'Salty Sisters', Outer Reef goes above and beyond, ensuring everyone can experience the thrill of the Welsh coast. Whether you're a seasoned thrill-seeker or a complete beginner, Outer Reef will make your Pembrokeshire adventure one to remember.",true
outward-bound-aberdyfi,Outward Bound Aberdyfi,https://www.outwardbound.org.uk/aberdyfi,enquiries@outwardbound.org.uk,01654 767464,"Aberdyfi, Gwynedd, LL35 0RA",52.540,-4.040,Mid Wales|Snowdonia,Climbing,activity_provider,School Residentials|Summer Adventures|Hiking|Scrambling|Climbing,,,,,,,,,,"Real adventures in the heart of Wales, where sea, forest and mountain meet.",true
oxwich-watersports,Oxwich Watersports,https://www.oxwichwatersports.co.uk,info@oxwichwatersports.co.uk,01792 000 000,"Oxwich Bay, Gower",51.5655,-4.1397,Gower,SUP|Kayaking|Coasteering|Hire,activity_provider,sup|kayaking|coasteering,Mid-Range,4.5/5 (200+),https://www.tripadvisor.co.uk,@oxwichwatersports,Oxwich Watersports are the premier watersports operator uniquely specialising in adventures within Oxwich Bay.,No,"{""years_in_business"": null, ""certifications"": [], ""awards"": [], ""review_count"": 200}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/oxwich-watersports/logo.png,Your Oxwich Bay watersports specialists.,"Looking for watersports action in Gower? Look no further than Oxwich Watersports. These guys are specialists in Oxwich Bay, offering a range of activities perfect for everyone from families to thrill-seekers. Whether you want a gentle paddle on a SUP, a guided kayaking adventure, or a full-on coasteering experience, Oxwich Watersports has you covered. They're a proper centre of excellence with the gear and the know-how to get you out on the water safely and having a blast.

Oxwich Watersports doesn't just rent equipment – they offer training too, making it a fantastic place for beginners to learn the ropes. Their location is ideal, right in the heart of the Gower Peninsula, giving you easy access to some of Wales's most stunning coastline. Plus, with a solid 4.5-star Google rating based on over 200 reviews, you know you're in good hands.",true
paddle-west,Paddle West,https://www.paddlewest.co.uk,info@paddlewest.co.uk,07342 741268,"The Quayside, Pembroke SA71 4DW",51.676,-4.920,pembrokeshire,Kayaking,activity_provider,Canoe Tours|Row Boats,,,,,,,,,,Family friendly boating adventures including canoe tours and castle row boats in Pembroke.,true
pearce-cycles,Pearce Cycles,https://www.pearcecycles.co.uk,,,Ludlow (Border),52.370,-2.750,Mid Wales,MTB,activity_provider,Uplift Service,,,,,,,,,,Uplift service at Hopton and Bucknell.,true
pedal-mtb,Pedal MTB,https://pedalmtb.co.uk,,,Betws-y-Coed,53.136,-3.816,North Wales,MTB,activity_provider,Skills Coaching|Guided Rides|Women's Specific,,,,,,,,,,MTB instruction and guiding in North Wales.,true
pedalabikeaway,Pedalabikeaway,https://pedalabikeaway.co.uk,info@pedalabikeaway.co.uk,01594 729000,"Cannop Valley, Coleford",51.800,-2.600,South Wales|Wye Valley,Hire|MTB,activity_provider,Bike Hire|Cafe,,,,,,,,,,"Located in the Forest of Dean, offering bike hire for all abilities.",true
pembrokeshire-surf-school,Pembrokeshire Surf School,https://pembrokeshiresurfschool.co.uk,phil@pembrokeshiresurfschool.co.uk,07881 937605,"Newgale Beach, Pembrokeshire",51.8456,-5.1178,Pembrokeshire,Surfing,,,,,,,,,,,,"Established in 2018, offers a range of surf training for all levels.",
plas-menai,Plas Menai,https://www.plasmenai.co.uk,info@plasmenai.co.uk,01248 670 964,Caernarfon LL55 1UE,53.1505,-4.2213,"Anglesey, North Wales",Sailing|Powerboating|Sea Kayaking|Windsurfing|Coasteering|Hire|Kayaking|Surfing,activity_provider,sailing|powerboating|sea-kayaking|windsurfing,Mid-Range/Premium,4.5/5 (300+),https://www.tripadvisor.co.uk,@plasmenai,"As the National Watersports Centre, Plas Menai offers unparalleled watersports training and adventure in a stunning Welsh location.",No,"{""years_in_business"": null, ""certifications"": [""RYA (Royal Yachting Association) accredited""], ""awards"": [], ""review_count"": 300}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/plas-menai/logo.png,Your Gateway to Watersports Excellence in Wales.,"Looking for the ultimate watersports adventure in North Wales? Look no further than Plas Menai, the National Watersports Centre. I've known these guys for years, and their passion for getting people on the water is infectious. Situated on the stunning Menai Strait in Anglesey, they offer a huge range of activities, from sailing and powerboating to sea kayaking and windsurfing. Whether you're a complete beginner or an experienced sailor looking to hone your skills, Plas Menai has a course or activity to suit you. 

Plas Menai isn't just about fun and games; they're serious about training too. As a Royal Yachting Association (RYA) accredited centre, they offer courses that can take you from novice to qualified instructor. Their expert tuition, coupled with top-notch facilities and on-site accommodation, makes them the perfect choice for anyone looking to immerse themselves in the world of watersports. Plus, with activities suitable for ages eight and over, the whole family can get involved.",true
plas-y-brenin,Plas y Brenin,https://pyb.co.uk,info@pyb.co.uk,01690 720 214,"Capel Curig, Conwy LL24 0ET",53.104,-3.905,Snowdonia,Climbing|Mountaineering|Kayaking|Hill Walking|MTB|Coasteering|Surfing|Walking,activity_provider,Rock Climbing|Mountaineering|Winter Skills|Scrambling,Mid-Range/Premium,4.5/5 (800+),https://www.tripadvisor.co.uk/Attraction_Review-g1073364-d1557422,@plasybrenin,"Plas y Brenin is the National Outdoor Centre, offering unparalleled outdoor adventure courses and experiences backed by over 60 years of expertise.",No,"{""years_in_business"": 60, ""certifications"": [], ""awards"": [], ""review_count"": 800}",https://garbmipansiok1l0.public.blob.vercel-storage.com/operators/plas-y-brenin/logo.png,Adventure starts here. For over 60 years.,"For over 60 years, Plas y Brenin, the National Outdoor Centre, has been at the heart of adventure in Snowdonia. More than just a training center, Plas y Brenin is an institution, a place where generations have honed their skills in climbing, mountaineering, kayaking, hill walking, and mountain biking. Situated in the stunning landscapes of Eryri, it's the perfect base to explore the rugged beauty of Wales. 

With courses catering to all abilities, from introductory sessions to instructor development programs, Plas y Brenin is committed to providing top-tier instruction and guided experiences. Whether you're looking to conquer the Welsh 3000s, learn winter mountaineering skills, or simply enjoy a guided St. David's Day walk, their expert team and comprehensive facilities ensure an unforgettable adventure. And if you're looking for a great deal, check out their accommodation offers and unique events!",true
porthcawl-surf-school,Porthcawl Surf School,https://www.porthcawlsurf.co.uk,surf@porthcawlsurf.co.uk,07583 348013,Porthcawl,51.490,-3.720,South Wales,Hire|Surfing,activity_provider,Surf Hire|Lessons,,,,,,,,,,Surf school and hire at Rest Bay.,true
